146x   | 
11x  sig:11 | src:000096
5x  sig:11 | src:000188
5x  sig:11 | src:000164
5x  sig:06 | src:000125
4x  sig:06 | src:000078
2x  sig:11 | src:000224
2x  sig:06 | src:000136
2x  sig:06 | src:000127
2x  sig:06 | src:000103
2x  sig:06 | src:000002
1x  sig:11 | src:000360
1x  sig:11 | src:000359
1x  sig:11 | src:000256
1x  sig:11 | src:000238
1x  sig:11 | src:000232
1x  sig:11 | src:000230
1x  sig:11 | src:000212
1x  sig:11 | src:000192
1x  sig:11 | src:000176
1x  sig:11 | src:000156
1x  sig:11 | src:000126
1x  sig:11 | src:000116
1x  sig:11 | src:000090
1x  sig:11 | src:000049
1x  sig:11 | src:000004
1x  sig:06 | src:000270
1x  sig:06 | src:000243
1x  sig:06 | src:000240
1x  sig:06 | src:000206
1x  sig:06 | src:000205
1x  sig:06 | src:000195
1x  sig:06 | src:000185
1x  sig:06 | src:000166
1x  sig:06 | src:000164
1x  sig:06 | src:000144
1x  sig:06 | src:000139
1x  sig:06 | src:000134
1x  sig:06 | src:000132
1x  sig:06 | src:000115
1x  sig:06 | src:000098
1x  sig:06 | src:000087
1x  sig:06 | src:000035
1x  sig:06 | src:000004
